"id","book_title","author"
"93","Siddhartha","Hermann Hesse"
"94","The Shining (The Shining, #1)","Stephen King"
"95","Angela�s Ashes (Frank McCourt, #1)","Frank McCourt"
"96","The Complete Stories and Poems","Edgar Allan Poe"
"97","Interview with the Vampire (The Vampire Chronicles, #1)","Anne Rice"
"98","Don Quixote","Miguel de Cervantes Saavedra"
"99","The Poisonwood Bible","Barbara Kingsolver"
"100","The Old Man and the Sea","Ernest Hemingway"
"101","Harry Potter and the Goblet of Fire (Harry Potter, #4)","J.K. Rowling"
"102","Atlas Shrugged","Ayn Rand"
"103","The Notebook (The Notebook, #1)","Nicholas Sparks"
"104","Winnie-the-Pooh (Winnie-the-Pooh, #1)","A.A. Milne"
"105","Fahrenheit 451","Ray Bradbury"
"106","Harry Potter and the Half-Blood Prince (Harry Potter, #6)","J.K. Rowling"
"107","Moby-Dick or, The Whale","Herman Melville"
"108","A Prayer for Owen Meany","John Irving"
"109","Clockwork Angel (The Infernal Devices, #1)","Cassandra Clare"
"110","The Stranger","Albert Camus"
"111","The Secret Life of Bees","Sue Monk Kidd"
"112","The Red Tent","Anita Diamant"
"113","Harry Potter and the Chamber of Secrets (Harry Potter, #2)","J.K. Rowling"
"114","The Name of the Wind (The Kingkiller Chronicle, #1)","Patrick Rothfuss"
"115","The Master and Margarita","Mikhail Bulgakov"
"116","The Metamorphosis","Franz Kafka"
"117","The Hobbit (The Lord of the Rings, #0)","J.R.R. Tolkien"
"118","Middlesex","Jeffrey Eugenides"
"119","Eragon (The Inheritance Cycle, #1)","Christopher Paolini"
"121","The Adventures of Tom Sawyer","Mark Twain"
"122","The Count of Monte Cristo","Alexandre Dumas"
"123","Charlie and the Chocolate Factory (Charlie Bucket, #1)","Roald Dahl"
"124","The Very Hungry Caterpillar","Eric Carle"
"125","The Last Olympian (Percy Jackson and the Olympians, #5)","Rick Riordan"
"126","The Curious Incident of the Dog in the Night-Time","Mark Haddon"
"127","The Shadow of the Wind (The Cemetery of Forgotten Books, #1)","Carlos Ruiz Zaf�n"
"128","The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)","C.S. Lewis"
"129","Tuesdays with Morrie","Mitch Albom"
"130","The Unbearable Lightness of Being","Milan Kundera"
"131","On the Road","Jack Kerouac"
"132","The Name of the Rose","Umberto Eco"
"133","Where the Red Fern Grows","Wilson Rawls"
"134","The Godfather (The Godfather, #1)","Mario Puzo"
"135","Holes (Holes, #1)","Louis Sachar"
"136","In Cold Blood","Truman Capote"
"137","Perfume: The Story of a Murderer","Patrick S�skind"
"138","The Scarlet Letter","Nathaniel Hawthorne"
"139","Fight Club","Chuck Palahniuk"
"140","The Five People You Meet in Heaven","Mitch Albom"
"141","American Gods","Neil Gaiman"
"142","The Divine Comedy","Dante Alighieri"
"143","Watchmen","Alan Moore"
"144","The Cat in the Hat (The Cat in the Hat, #1)","Dr. Seuss"
"145","A Story of Yesterday","Sergio Cobo"
"146","All Quiet on the Western Front","Erich Maria Remarque"
"147","Hush, Hush (Hush, Hush, #1)","Becca Fitzpatrick"
"148","The Little House Collection (Little House, #1-9)","Laura Ingalls Wilder"
"149","Lonesome Dove (Lonesome Dove, #1)","Larry McMurtry"
"150","Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch","Terry Pratchett"
"152","Peter Pan","J.M. Barrie"
"153","The Addiction Manifesto","Jerry Weaver"
"154","Love in the Time of Cholera","Gabriel Garc�a M�rquez"
"155","Insurgent (Divergent, #2)","Veronica Roth"
"156","A Walk to Remember","Nicholas Sparks"
"158","The Titan�s Curse (Percy Jackson and the Olympians, #3)","Rick Riordan"
"159","The Thorn Birds","Colleen McCullough"
"160","The Compleat Works of Wllm Shkspr","Reduced Shakespeare Company"
"161","Catching Fire (The Hunger Games, #2)","Suzanne Collins"
"162","Shadow Kiss (Vampire Academy, #3)","Richelle Mead"
"163","How the Grinch Stole Christmas!","Dr. Seuss"
"164","Clockwork Princess (The Infernal Devices, #3)","Cassandra Clare"
"165","The Ultimate Hitchhiker�s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)","Douglas Adams"
"167","Their Eyes Were Watching God","Zora Neale Hurston"
"168","The Importance of Being Earnest","Oscar Wilde"
"169","The Wonderful Wizard of Oz (Oz, #1)","L. Frank Baum"
"170","Atonement","Ian McEwan"
"171","Eat, Pray, Love","Elizabeth Gilbert"
"172","The Three Musketeers","Alexandre Dumas"
"173","The Maze Runner (The Maze Runner, #1)","James Dashner"
"174","The Lorax","Dr. Seuss"
"175","Goodnight Moon","Margaret Wise Brown"
"176","The Haunting of Hill House","Shirley Jackson"
"177","A Midsummer Night�s Dream","William Shakespeare"
"179","Frostbite (Vampire Academy, #2)","Richelle Mead"
"181","The Hunger Games Trilogy Boxset (The Hunger Games, #1-3)","Suzanne Collins"
"182","Heart of Darkness","Joseph Conrad"
"184","Tess of the D�Urbervilles","Thomas Hardy"
"185","Bridge to Terabithia","Katherine Paterson"
"186","Murder on the Orient Express (Hercule Poirot, #10)","Agatha Christie"
"187","Blood Promise (Vampire Academy, #4)","Richelle Mead"
"188","The Prophet","Kahlil Gibran"
"189","The Good Earth (House of Earth, #1)","Pearl S. Buck"
"190","The Call of the Wild","Jack London"
"192","The Joy Luck Club","Amy Tan"
"193","Alice in Wonderland","Jane Carruth"
"194","The Selection (The Selection, #1)","Kiera Cass"
"195","The Silence of the Lambs  (Hannibal Lecter, #2)","Thomas  Harris"
"196","The Phantom Tollbooth","Norton Juster"
"197","The Night Circus","Erin Morgenstern"
"198","Oh, the Places You�ll Go!","Dr. Seuss"
"199","Madame Bovary","Gustave Flaubert"
"200","The Mists of Avalon (Avalon, #1)","Marion Zimmer Bradley"
"201","The Neverending Story","Michael Ende"
"202","Oliver Twist","Charles Dickens"
"203","Jonathan Livingston Seagull","Richard Bach"
"204","Treasure Island","Robert Louis Stevenson"
"205","The Girl Who Played with Fire (Millennium, #2)","Stieg Larsson"
"206","Ulysses","James Joyce"
"207","The Diary of a Young Girl","Anne Frank"
"208","A Storm of Swords (A Song of Ice and Fire, #3)","George R.R. Martin"
"209","Fifty Shades of Grey (Fifty Shades, #1)","E.L. James"
"210","The Boy in the Striped Pajamas","John Boyne"
"211","Jurassic Park (Jurassic Park, #1)","Michael Crichton"
"213","The Clan of the Cave Bear (Earth's Children, #1)","Jean M. Auel"
"214","Beloved","Toni Morrison"
"215","A Farewell to Arms","Ernest Hemingway"
"216","The Canterbury Tales","Geoffrey Chaucer"
"217","David Copperfield","Charles Dickens"
"218","The Lost Hero (The Heroes of Olympus, #1)","Rick Riordan"
"219","The World According to Garp","John Irving"
"220","A Little Princess","Frances Hodgson Burnett"
"221","Th1rteen R3asons Why","Jay Asher"
"222","His Dark Materials (His Dark Materials #1-3)","Philip Pullman"
"224","The Green Mile","Stephen King"
"225","Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)","Gregory Maguire"
"226","The Chain Between Worlds (The Lost Artefacts #1)","Johnathon Nicolaou"
"227","Schindler�s List","Thomas Keneally"
"228","Clockwork Prince (The Infernal Devices, #2)","Cassandra Clare"
"230","The Silmarillion","J.R.R. Tolkien"
"231","Cinder (The Lunar Chronicles, #1)","Marissa Meyer"
"232","The Velveteen Rabbit","Margery Williams Bianco"
"233","The Iliad / The Odyssey","Homer"
"234","The Trial","Franz Kafka"
"235","Extremely Loud & Incredibly Close","Jonathan Safran Foer"
"236","The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)","Philippa Gregory"
"237","Fallen (Fallen, #1)","Lauren Kate"
"238","Last Sacrifice (Vampire Academy, #6)","Richelle Mead"
"239","Gone Girl","Gillian Flynn"
"240","The Sun Also Rises","Ernest Hemingway"
"241","Man�s Search for Meaning","Viktor E. Frankl"
"242","A Confederacy of Dunces","John Kennedy Toole"
"243","Howl�s Moving Castle (Howl�s Moving Castle, #1)","Diana Wynne Jones"
"244","The Secret Magdalene","Ki Longfellow"
"245","The Crucible: A Play in Four Acts","Arthur Miller"
"246","Cat�s Cradle","Kurt Vonnegut Jr."
"247","City of Fallen Angels (The Mortal Instruments, #4)","Cassandra Clare"
"248","The Screwtape Letters","C.S. Lewis"
"249","A Light in the Attic","Shel Silverstein"
"250","The Phantom of the Opera","Gaston Leroux"
"251","The Wind in the Willows","Kenneth Grahame"
"252","Spirit Bound (Vampire Academy, #5)","Richelle Mead"
"253","The God of Small Things","Arundhati Roy"
"254","The Hiding Place: The Triumphant True Story of Corrie Ten Boom","Corrie ten Boom"
"256","Girl with a Pearl Earring","Tracy Chevalier"
"257","Ella Enchanted (Ella Enchanted, #1)","Gail Carson Levine"
"258","A Clash of Kings  (A Song of Ice and Fire, #2)","George R.R. Martin"
"259","Uglies (Uglies, #1)","Scott Westerfeld"
"260","The Wind-Up Bird Chronicle","Haruki Murakami"
"261","Marley and Me: Life and Love With the World�s Worst Dog","John Grogan"
"262","Mockingjay (The Hunger Games, #3)","Suzanne Collins"
"263","She�s Come Undone","Wally Lamb"
"264","The House of the Spirits","Isabel Allende"
"265","The Lord of the Rings","J.R.R. Tolkien"
"266","The Guernsey Literary and Potato Peel Pie Society","Mary Ann Shaffer"
"267","Shiver (The Wolves of Mercy Falls, #1)","Maggie Stiefvater"
"268","Marked (House of Night, #1)","P.C. Cast"
"269","Norwegian Wood","Haruki Murakami"
"270","Speak","Laurie Halse Anderson"
"271","The Sound and the Fury","William Faulkner"
"272","The Shack","William Paul Young"
"273","Fear and Loathing in Las Vegas","Hunter S. Thompson"
"274","The Complete Calvin and Hobbes","Bill Watterson"
"275","For Whom the Bell Tolls","Ernest Hemingway"
"276","Island of the Blue Dolphins","Scott O'Dell"
"278","Roots: The Saga of an American Family","Alex Haley"
"280","Stranger in a Strange Land","Robert A. Heinlein"
"281","Paper Towns","John Green"
"282","Othello","William Shakespeare"
"283","The Complete Sherlock Holmes","Arthur Conan Doyle"
"284","The Way of Kings (The Stormlight Archive, #1)","Brandon Sanderson"
"285","The Idiot","Fyodor Dostoevsky"
"286","Into the Wild","Jon Krakauer"
"287","The Girl Who Kicked the Hornet�s Nest (Millennium, #3)","Stieg Larsson"
"288","Inkheart (Inkworld, #1)","Cornelia Funke"
"289","Neverwhere (London Below, #1)","Neil Gaiman"
"290","The Vampire Lestat (The Vampire Chronicles, #2)","Anne Rice"
"291","Delirium (Delirium, #1)","Lauren Oliver"
"292","The Things They Carried","Tim O'Brien"
"293","King Lear","William Shakespeare"
"294","Invisible Man","Ralph Ellison"
"295","Beautiful Disaster (Beautiful, #1)","Jamie McGuire"
"296","White Oleander","Janet Fitch"
"297","Blood River: A Journey to Africa�s Broken Heart","Tim Butcher"
"298","Uncle Tom�s Cabin","Harriet Beecher Stowe"
"299","Different Seasons","Stephen King"
"300","Midnight Sun [2008 Draft]","Stephenie Meyer"
"301","All Creatures Great and Small (All Creatures Great and Small, #1-2)","James Herriot"
"302","Foundation (Foundation, #1)","Isaac Asimov"
"303","The Once and Future King (The Once and Future King, #1-4)","T.H. White"
"304","Never Let Me Go","Kazuo Ishiguro"
"305","I Know This Much Is True","Wally Lamb"
"306","Flow Down Like Silver","Ki Longfellow"
"307","James and the Giant Peach","Roald Dahl"
"308","Ready Player One (Ready Player One, #1)","Ernest Cline"
"310","Wonder (Wonder, #1)","R.J. Palacio"
"311","Candide","Voltaire"
"312","The Time Machine","H.G. Wells"
"313","Lamb: The Gospel According to Biff, Christ�s Childhood Pal","Christopher Moore"
"314","Paradise Lost","John Milton"
"315","The Complete Works","William Shakespeare"
"317","The Thirteenth Tale","Diane Setterfield"
"318","The Son of Neptune (The Heroes of Olympus, #2)","Rick Riordan"
"319","Heidi","Johanna Spyri"
"320","Leaves of Grass","Walt Whitman"
"321","The Wise Man�s Fear (The Kingkiller Chronicle, #2)","Patrick Rothfuss"
"322","City of Lost Souls (The Mortal Instruments, #5)","Cassandra Clare"
"323","The Mark of Athena (The Heroes of Olympus, #3)","Rick Riordan"
"324","Graceling (Graceling Realm, #1)","Kristin Cashore"
"326","The Cider House Rules","John Irving"
"327","Are You There God? It�s Me, Margaret","Judy Blume"
"328","Me Before You (Me Before You, #1)","Jojo Moyes"
"329","�Salem�s Lot","Stephen King"
"330","Walden","Henry David Thoreau"
"332","Fangirl","Rainbow Rowell"
"333","The Martian","Andy Weir"
"334","East of Eden","John Steinbeck"
"335","Sophie�s World","Jostein Gaarder"
"336","Mrs. Dalloway","Virginia Woolf"
"337","Legend (Legend, #1)","Marie Lu"
"338","The Hound of the Baskervilles (Sherlock Holmes, #5)","Arthur Conan Doyle"
"339","Fried Green Tomatoes at the Whistle Stop Cafe (Whistle Stop #1)","Fannie Flagg"
"340","The Awakening","Kate Chopin"
"341","Hamlet","William Shakespeare"
"342","The Complete Maus","Art Spiegelman"
"343","All the Light We Cannot See","Anthony Doerr"
"344","Sophie�s Choice","William Styron"
"345","The Graveyard Book","Neil Gaiman"
"346","Fifty Shades Darker (Fifty Shades, #2)","E.L. James"
"348","Middlemarch","George Eliot"
"349","The Monster at the End of this Book","Jon Stone"
"350","The Prince of Tides","Pat Conroy"
"351","Stardust","Neil Gaiman"
"352","Things Fall Apart (The African Trilogy, #1)","Chinua Achebe"
"353","Dead Until Dark (Sookie Stackhouse, #1)","Charlaine Harris"
"354","Eleanor & Park","Rainbow Rowell"
"355","Number the Stars","Lois Lowry"
"356","A Time to Kill (Jake Brigance, #1)","John Grisham"
"357","Black Beauty","Anna Sewell"
"358","Bridget Jones�s Diary (Bridget Jones, #1)","Helen Fielding"
"359","The Magician�s Nephew (Chronicles of Narnia, #6)","C.S. Lewis"
"360","V for Vendetta","Alan Moore"
"361","Franny and Zooey","J.D. Salinger"
"362","Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante, #1)","Benjamin Alire S�enz"
"363","The Art of Racing in the Rain","Garth Stein"
"365","The Witches","Roald Dahl"
"366","The Gunslinger (The Dark Tower, #1)","Stephen King"
"367","A Short History of Nearly Everything","Bill Bryson"
"368","American Psycho","Bret Easton Ellis"
"369","Allegiant (Divergent, #3)","Veronica Roth"
"370","White Fang","Jack London"
"371","Beowulf","Unknown"
"372","Love You Forever","Robert Munsch"
"373","The Power of One (The Power of One, #1)","Bryce Courtenay"
"374","If I Stay (If I Stay, #1)","Gayle Forman"
"375","The Complete Novels","Jane Austen"
"376","Harry Potter Series Box Set (Harry Potter, #1-7)","J.K. Rowling"
"377","Gulliver�s Travels","Jonathan Swift"
"378","The Eye of the World (The Wheel of Time, #1)","Robert Jordan"
"379","A Portrait of the Artist as a Young Man","James Joyce"
"380","War and Peace","Leo Tolstoy"
"381","Tuck Everlasting","Natalie Babbitt"
"382","Fifty Shades Freed (Fifty Shades, #3)","E.L. James"
"383","Bel Canto","Ann Patchett"
"384","A Child Called ""It"" (Dave Pelzer, #1)","Dave Pelzer"
"385","?????? ??????","Anonymous"
"386","11/22/63","Stephen King"
"388","Dr. Jekyll and Mr. Hyde","Robert Louis Stevenson"
"389","Go Ask Alice","Beatrice Sparks"
"390","The Tell-Tale Heart and Other Writings","Edgar Allan Poe"
"391","The Martian Chronicles","Ray Bradbury"
"392","The House of Hades (The Heroes of Olympus, #4)","Rick Riordan"
"393","Cold Mountain","Charles Frazier"
"394","Dark Lover (Black Dagger Brotherhood, #1)","J.R. Ward"
"395","As I Lay Dying","William Faulkner"
"396","Mansfield Park","Jane Austen"
"397","Cloud Atlas","David Mitchell"
"398","The Hunchback of Notre-Dame","Victor Hugo"
"399","Steppenwolf","Hermann Hesse"
"400","Eldest (The Inheritance Cycle, #2)","Christopher Paolini"
"401","Inferno","Dante Alighieri"
"402","Tao Te Ching","Lao Tzu"
"403","Beautiful Creatures (Caster Chronicles, #1)","Kami Garcia"
"404","A Separate Peace","John Knowles"
"405","The Grapes of Wrath","John Steinbeck"
"406","Brisingr (The Inheritance Cycle, #3)","Christopher Paolini"
"407","Ignite Me (Shatter Me, #3)","Tahereh Mafi"
"408","Obsidian (Lux, #1)","Jennifer L. Armentrout"
"409","The BFG","Roald Dahl"
"411","Robinson Crusoe","Daniel Defoe"
"412","????? ?? ???? ????","??? ????? ??????"
"413","Room","Emma Donoghue"
"414","The Amazing Adventures of Kavalier & Clay","Michael Chabon"
"415","Stargirl (Stargirl, #1)","Jerry Spinelli"
"416","Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus, #1)","Robert M. Pirsig"
"417","The Amber Spyglass (His Dark Materials, #3)","Philip Pullman"
"418","Doctor Zhivago","Boris Pasternak"
"419","City of Heavenly Fire (The Mortal Instruments, #6)","Cassandra Clare"
"420","Midnight�s Children","Salman Rushdie"
"421","The English Patient","Michael Ondaatje"
"422","Dear John","Nicholas Sparks"
"423","The Last Song","Nicholas Sparks"
"424","The Firm","John Grisham"
"425","The Remains of the Day","Kazuo Ishiguro"
"426","The Plague","Albert Camus"
"427","Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)","Ransom Riggs"
"428","Crescendo (Hush, Hush, #2)","Becca Fitzpatrick"
"429","Flowers in the Attic (Dollanganger, #1)","V.C. Andrews"
"431","Like Water for Chocolate","Laura Esquivel"
"432","My �ntonia","Willa Cather"
"433","Dragonfly in Amber (Outlander, #2)","Diana Gabaldon"
"434","Coraline","Neil Gaiman"
"435","Red Queen (Red Queen, #1)","Victoria Aveyard"
"436","Midnight in the Garden of Good and Evil","John Berendt"
"437","Blood Meridian, or, the Evening Redness in the West","Cormac McCarthy"
"438","Breakfast at Tiffany�s and Three Stories","Truman Capote"
"439","Breakfast of Champions","Kurt Vonnegut Jr."
"440","The Origin of Species","Charles Darwin"
"441","All the Bright Places","Jennifer Niven"
"442","A Streetcar Named Desire","Tennessee Williams"
"443","Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)","Laini Taylor"
"444","The Prince","Niccol� Machiavelli"
"445","The Subtle Knife (His Dark Materials, #2)","Philip Pullman"
"449","A Fine Balance","Rohinton Mistry"
"450","The One (The Selection, #3)","Kiera Cass"
"451","Infinite Jest","David Foster Wallace"
"452","Death of a Salesman","Arthur Miller"
"453","Unbroken: A World War II Story of Survival, Resilience and Redemption","Laura Hillenbrand"
"454","The Virgin Suicides","Jeffrey Eugenides"
"455","Evermore (The Immortals, #1)","Alyson Noel"
"456","A Feast for Crows (A Song of Ice and Fire, #4)","George R.R. Martin"
"457","Pippi Longstocking (Pippi L�ngstrump, #1)","Astrid Lindgren"
"458","Carrie","Stephen King"
"459","I Know Why the Caged Bird Sings (Maya Angelou's Autobiography, #1)","Maya Angelou"
"460","Jonathan Strange & Mr. Norrell","Susanna Clarke"
"461","The Scarlet Pimpernel","Emmuska Orczy"
"462","The Host (The Host, #1)","Stephenie Meyer"
"463","Snow Flower and the Secret Fan","Lisa See"
"464","The Angel Experiment (Maximum Ride, #1)","James Patterson"
"465","Anna and the French Kiss (Anna and the French Kiss, #1)","Stephanie Perkins"
"466","Matched (Matched, #1)","Ally Condie"
"467","Pet Sematary","Stephen King"
"468","Artemis Fowl (Artemis Fowl, #1)","Eoin Colfer"
"469","Faust, First Part","Johann Wolfgang von Goethe"
"470","Where the Crawdads Sing","Delia Owens"
"471","The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America","Erik Larson"
"473","High Fidelity","Nick Hornby"
"474","We Were Liars","E. Lockhart"
"475","The Shipping News","Annie Proulx"
"477","Northanger Abbey","Jane Austen"
"478","The Tales of Beedle the Bard","J.K. Rowling"
"479","The Chosen (Reuven Malther, #1)","Chaim Potok"
"480","Houdini Heart","Ki Longfellow"
"481","Shantaram","Gregory David Roberts"
"482","Nineteen Minutes","Jodi Picoult"
"483","Waiting for Godot","Samuel Beckett"
"484","The Hate U Give (The Hate U Give, #1)","Angie Thomas"
"485","To the Lighthouse","Virginia Woolf"
"486","Persuasion","Jane Austen"
"487","The Voyage of the Dawn Treader (Chronicles of Narnia, #3)","C.S. Lewis"
"488","Neuromancer (Sprawl, #1)","William Gibson"
"489","The Reader","Bernhard Schlink"
"490","Redeeming Love","Francine Rivers"
"491","I, Robot (Robot, #0.1)","Isaac Asimov"
"492","The Lost Symbol (Robert Langdon, #3)","Dan       Brown"
"493","Red, White & Royal Blue","Casey McQuiston"
"494","The Age of Innocence","Edith Wharton"
"495","A Dance with Dragons (A Song of Ice and Fire, #5)","George R.R. Martin"
"496","The Exorcist","William Peter Blatty"
"497","Dubliners","James Joyce"
"498","The Waste Land","T.S. Eliot"
"501","Divine Secrets of the Ya-Ya Sisterhood","Rebecca Wells"
"502","The Goldfinch","Donna Tartt"
"503","Lover Awakened (Black Dagger Brotherhood, #3)","J.R. Ward"
"504","Betrayed (House of Night, #2)","P.C. Cast"
"505","The Pearl","John Steinbeck"
"506","The Twilight Collection","Stephenie Meyer"
"507","The Republic","Plato"
"508","The Jungle","Upton Sinclair"
"509","City of Glass (The Mortal Instruments, #3)","Cassandra Clare"
"511","Angels & Demons (Robert Langdon, #1)","Dan       Brown"
"512","A Christmas Carol","Charles Dickens"
"513","Me Talk Pretty One Day","David Sedaris"
"514","Voyager (Outlander, #3)","Diana Gabaldon"
"515","Snow Falling on Cedars","David Guterson"
"516","Night  (The Night Trilogy, #1)","Elie Wiesel"
"517","Everything is Illuminated","Jonathan Safran Foer"
"518","The Last Battle (Chronicles of Narnia, #7)","C.S. Lewis"
"519","The Nightingale","Kristin Hannah"
"520","Untamed (House of Night, #4)","P.C. Cast"
"521","I, Claudius (Claudius, #1)","Robert Graves"
"522","The 5th Wave (The 5th Wave, #1)","Rick Yancey"
"523","Emma","Jane Austen"
"524","A Room with a View","E.M. Forster"
"525","The War of the Worlds","H.G. Wells"
"526","Bleak House","Charles Dickens"
"527","The Raven Boys (The Raven Cycle, #1)","Maggie Stiefvater"
"528","The Complete Poems of Emily Dickinson","Emily Dickinson"
"529","The Elite (The Selection, #2)","Kiera Cass"
"530","Chosen (House of Night, #3)","P.C. Cast"
"531","A Discovery of Witches (All Souls, #1)","Deborah Harkness"
"532","?????? ????","???? ???? ????? ?????"
"533","The Woman in White","Wilkie Collins"
"534","Of Human Bondage","W. Somerset Maugham"
"535","World War Z: An Oral History of the Zombie War","Max Brooks"
"536","The Bad Beginning (A Series of Unfortunate Events, #1)","Lemony Snicket"
"537","The God Delusion","Richard Dawkins"
"538","The Witching Hour (Lives of the Mayfair Witches, #1)","Anne Rice"
"540","North and South","Elizabeth Gaskell"
"541","??????","???? ???? ????? ?????"
"542","Brideshead Revisited","Evelyn Waugh"
"544","Sense and Sensibility","Jane Austen"
"545","Unwind (Unwind, #1)","Neal Shusterman"
"546","The Iron King (The Iron Fey, #1)","Julie Kagawa"
"547","Bloodlines (Bloodlines, #1)","Richelle Mead"
"548","The Elephant Tree","R.D. Ronald"
"549","Wizard's First Rule (Sword of Truth, #1)","Terry Goodkind"
"550","Shadow and Bone (The Shadow and Bone Trilogy, #1)","Leigh Bardugo"
"551","Snow Crash","Neal Stephenson"
"552","Johnny Got His Gun","Dalton Trumbo"
"553","Vanity Fair","William Makepeace Thackeray"
"554","Unravel Me (Shatter Me, #2)","Tahereh Mafi"
"555","Bared to You (Crossfire, #1)","Sylvia Day"
"556","Cannery Row (Cannery Row, #1)","John Steinbeck"
"557","2001: A Space Odyssey (Space Odyssey, #1)","Arthur C. Clarke"
"558","Torment (Fallen, #2)","Lauren Kate"
